ID,COURSE CODE,COURSE TITLE
1,ISC 111,Mathematics for science  I
2,ISC 112,Science Education I
3,ISC 113,Introduction to Scientific methods
4,ISC 114,Components of the environment
5,ISC 115,Nature of matter I
6,ISC 121,Mathematics for Science II
7,ISC 122,Man and Energy I
8,ISC 123,Transport control and development in living thing
9,ISC 211,Components of the environment II
10,ISC 212,Science Education II
11,ISC 213,Man and the Environment
12,ISC 214,Workshop practices and laboratory management
13,ISC 221,Nature of matter II
14,ISC 222,Science Education III
15,ISC 223,Dynamics
16,ISC 224,Research method 
17,ISC 225,Carbon Compound I
18,EDU 321,Man and Energy II
19,EDU 322,Reproduction and Growth
20,EDU 323,Carbon compound  II
21,EDU 324,The earth and the moon
22,EDU 325,Global ecology
23,ED 211,EDUCATIONAL PSYCHOLOGY I
24,ED 221,CURRICULUM THEORY AND PLANNING
25,ED 102,HISTORY OF EDUCATION
26,PHY 191,PRACTICAL PHYSICAL I
27,PHY 104,GENERAL PHYSICS I
28,MTH 112,GENERAL MATHEMATICS
29,C.S 101,INTRODUCTION TO COMPUTER SCIENCE
30,G.S 101,USE OF ENGLISH I
31,INT.SC 251,SCIENCE & SOCIETY
32,INT.SC 252,THE CHEMISTRY OF BIOLOGY SYSTEM I
33,INT.SC 242/253,PHYSICS OF CHEMICAL SYSTEM I
34,ED 224,EDUCATIONAL TECHNOLOGY
35,ED 222,SPECIAL METHODS
36,MATHS 113,GENERAL MATHS III
37,CHM 121,BASIC PRINCIPLES OF CHEMISTRY I
38,PHY 109,FUNDAMENTALS OF PHYSICS
39,C.S 304,COMPUTER APPLICATION
40,G.S 102,USE OF ENGLISH II
41,ED 201,PHILOSOPHY OF EDUCATION
42,ED 341,RESEARCH METHODS AND STATISTICS
43,INT.SC 311,INTRODUCTION OF BIOGEOGRAPHY
44,INT.SC 242, PHYSICS OF CHEMICAL SYSTEM II
45,G.S. 103,SOCIAL SCIENCE I 
46,G.S 207,HUMANITIES I
47,G.S 301,INTRODUCTION TO ENTREPRENUSHIP
48,BIO 351,GENERAL GENETICS
49,G.S 201,BASIC CONCEPTS & THEORIES OF PEACE & CONFLICT
50,ED 325,TEACHING PRACTICE
51,ED 205,SOCIOLOGY OF EDUCATION
52,ED 311,EDUCATIONAL PSYCHOLOGY II
53,ED 321,CURRICULUM IMPLEMENTATION & INSTRUCTION
54,ED 323,PRE-SCHOOL EDUCATION
55,G.S 104,SOCIAL SCIENCE II
56,G.S 208,HUMANITIES II
57,INT.SC 362,OUR NATURAL ENVIRONMENT
58,INT.SC 354,THE CHEMISTRY OF BIOSYSTEM II
59,ED 411,EDUCATIONAL PSYCHOLOGY III
60,ED 213,PRINCIPLES OF G & C
61,ED 425,TEACHING PRACTICE II
62,INT.SC 441, SPACE SCIENCE
63,INT.SC 541,WORKSHOP PRACTICES
64,ZOO 304,LABORATORY TECHNIQUES
65,ED 431,CLASSROOM O ORGANIZATION
66,INT.SC 358,INTRODUCTION TO BIOPHYSICS 2
67,ED 432,INSPECTION AND SUPERVISION
68,GEO 103,BASIC & APP. GEO FOR ENVIRONMENT
69,CHM 391,CHEMISTRY & THE ENVIRONMENT
70,ED 432,EDUCATIONAL ADMIN
71,ED 451,PROJECT
72,INT.SC 462,ENVIRONMENTAL POLLUTION
73,INT.SC 442/453,ENERGY SOURCE & TRANSFORMATION
74,INT.SC 452,ANALYTICAL PROCESSES
75,INT.SC 432,INDUSTRIAL PROCESSES
76,ED 441,MEASUREMENT & EVALUATION
77,G.S 302,BUSINESS CREATION & GROWTH
78,G.S 202,ISSUES IN PEACE & CONFLICT RESOLUTION
79,ED 101,HISTORY OF EDUCATION
80,INT.SC 111,INTRODUCTION TO INTEGRATED SCIENCE
81,INT.SC 152,FUNDAMENTAL CONCEPT OF MATTER & ENERGY
82,BIO 151,GENERAL BIOLOGY I
83,CHEM 101,BASIC PRICIPLES OF CHEMISTRY I
84,C.S 101,INTRODUCTION TO COMPUTER SCIENCE
85,MATHS 111,GENERAL MATHEMATICS
86,G.S 101,USE OF ENGLISH I
87,ED 102,INTRODUCTION TO EDUCATION
88,ED 201,PHILOSOPHY OF EDUCATION
89,INT.SC 152,TRANSFORMATION OF MATTER
90,INT.SC 122,LIFE SCIENCE
91,BIO 152,GENERAL BIOLOGY II
92,CHEM 111,BASIC PRINCIPLES OF CHEMISTRY II
93,MCB 201,INTRODUCTORY TO  MICROBIOLOGY
